Nr.;Kunde;Liegenschaft;Gebäude;Ebene;Raum;Prüfobjekt;Gruppe;Typ;Hersteller;Seriennummer;Kostenstelle;Abteilung;Bemerkung;Art;Prüfdatum;RPE;RPE Grenzwert;VDE 0701-0702-VLTG Erfolgreich;UP;IP;RISO;RISO Grenzwert;UISO;IISO;VDE 0701-0702 Erfolgreich;IB?;IB? Grenzwert;U?;f;P;S;PF;I;U;IPE?;IPE? Grenzwert;ULN;Frequenz(Ist);VDE 0701-0702-EDV Erfolgreich;
23;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R1 Teamzimmer;004/0009 Monitor;;BP10001;Belinea;;;;;Secutest Messung;17.02.2017 23:14:26;116 mO;=300 mO;;27 mV;231 mA;;;;;;;;;50,0 Hz;1 W;5 VA;1,00 ;0,02 A;236,7 V;323 µA322 µA;=3,50 mA=3,50 mA;237,0 V236,7 V;50,0 Hz50,0 Hz;Bestanden;
24;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R1 Teamzimmer;004/0010 Kaltgeräteleitung;;PC;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
25;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R1 Teamzimmer;004/0010 Kaltgeräteleitung;;PC;;;;;;Secutest Messung;17.02.2017 23:09:03;190 mO;=300 mO;Bestanden;44 mV;232 mA;300 MO;=1,00 MO;542 V;0,1 mA;;;;;;;;;;;;;;;;
26;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R1 Teamzimmer;004/0011 PC;;Compaq;HP;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
27;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R1 Teamzimmer;004/0011 PC;;Compaq;HP;;;;;Secutest Messung;17.02.2017 23:12:54;174 mO;=300 mO;;39 mV;225 mA;;;;;;;;;50,0 Hz;1 W;16 VA;0,05 ;0,07 A;236,2 V;448 µA447 µA;=3,50 mA=3,50 mA;236,8 V236,2 V;50,0 Hz50,0 Hz;Bestanden;
28;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R1 Teamzimmer;004/0012 Kaltgeräteleitung;;Switch;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
29;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R1 Teamzimmer;004/0012 Kaltgeräteleitung;;Switch;;;;;;Secutest Messung;17.02.2017 23:08:12;83 mO;=300 mO;Bestanden;19 mV;228 mA;300 MO;=1,00 MO;512 V;0,1 mA;;;;;;;;;;;;;;;;
30;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R1 Teamzimmer;004/0013 Switch;;;TP Link;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
31;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R1 Teamzimmer;004/0013 Switch;;;TP Link;;;;;Secutest Messung;17.02.2017 23:15:57;3,49 O;=300 mO;;776 mV;212 mA;;;;;;;;;;;;;;;;;;;Nicht erfolgreich;
32;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R1 Teamzimmer;004/0014 Mehrfachsteckdose;;8 fach;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
33;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R1 Teamzimmer;004/0014 Mehrfachsteckdose;;8 fach;;;;;;Secutest Messung;17.02.2017 23:06:33;38 mO;=300 mO;;9 mV;232 mA;300 MO;=1,00 MO;540 V;0,1 mA;Bestanden;;;230,1 V;50,0 Hz;3 W;3 VA;1,00 ;0,01 A;237,3 V;25 µA;=3,50 mA;;50,0 Hz;;
34;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R1 Teamzimmer;004/0015 Verlängerungsleitung;;2m;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
35;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R1 Teamzimmer;004/0015 Verlängerungsleitung;;2m;;;;;;Secutest Messung;17.02.2017 23:22:36;61 mO;=300 mO;Bestanden;14 mV;232 mA;300 MO;=1,00 MO;540 V;0,1 mA;;;;;;;;;;;;;;;;
36;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R1 Teamzimmer;004/0105 Verlängerungsleitung;;3m;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
37;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R1 Teamzimmer;004/0105 Verlängerungsleitung;;3m;;;;;;Secutest Messung;17.02.2017 23:17:32;132 mO;=300 mO;Bestanden;31 mV;236 mA;300 MO;=1,00 MO;513 V;0,1 mA;;;;;;;;;;;;;;;;
38;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R1 Teamzimmer;004/0106 Netzteil;;Telefon;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
39;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R1 Teamzimmer;004/0106 Netzteil;;Telefon;;;;;;Secutest Messung;17.02.2017 23:11:39;;;;;;300 MO;=2,00 MO;542 V;0,1 mA;Bestanden;2 µA;=500 µA;230,1 V;50,0 Hz50,0 Hz;2 W;4 VA;1,00 ;0,02 A;232,7 V;;;;;;
40;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;;;;;;;;;Raum;;;;;;;;;;;;;;;;;;;;;;;;;;
41;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0016 Mehrfachsteckdose;;3 fach;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
42;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0016 Mehrfachsteckdose;;3 fach;;;;;;Secutest Messung;17.02.2017 19:13:25;41 mO;=300 mO;Bestanden;9 mV;232 mA;300 MO;=1,00 MO;542 V;0,1 mA;;;;;;;;;;;;;;;;
43;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0017 Netzteil;;Kugellampe;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
44;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0017 Netzteil;;Kugellampe;;;;;;Secutest Messung;17.02.2017 20:00:37;;;;;;300 MO;=2,00 MO;541 V;0,1 mA;Bestanden;2 µA;=500 µA;230,0 V;50,0 Hz50,0 Hz;4 W;6 VA;0,64 ;0,03 A;236,5 V;;;;;;
45;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0018 Netzteil;;Kugellampe;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
46;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0018 Netzteil;;Kugellampe;;;;;;Secutest Messung;;;;;;;;;;;;;;;;;;;;;;;;;;
47;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0019 Ladegerät;;Akkuschrauber;Bosch;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
48;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0019 Ladegerät;;Akkuschrauber;Bosch;;;;;Secutest Messung;17.02.2017 20:04:37;;;;;;300 MO;=2,00 MO;542 V;0,1 mA;Bestanden;2 µA;=500 µA;229,9 V;50,0 Hz50,0 Hz;2 W;9 VA;0,26 ;0,04 A;236,7 V;;;;;;
49;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0020 Popcorn Maschine;;PE-4773;Pearl;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
50;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0020 Popcorn Maschine;;PE-4773;Pearl;;;;;Secutest Messung;17.02.2017 20:08:51;79 mO;=300 mO;;18 mV;232 mA;300 MO;=1,00 MO;543 V;0,1 mA;Bestanden;;;229,9 V;50,0 Hz;405 W;406 VA;1,00 ;1,73 A;234,7 V;18 µA;=3,50 mA;;50,0 Hz;;
51;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0021 Netzteil;;Laminier Gerät;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
52;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0021 Netzteil;;Laminier Gerät;;;;;;Secutest Messung;17.02.2017 20:07:14;;;;;;300 MO;=2,00 MO;512 V;0,1 mA;Bestanden;3 µA;=500 µA;230,1 V;50,0 Hz50,0 Hz;28 W;34 VA;0,82 ;0,14 A;236,4 V;;;;;;
53;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0022 Kaltgeräteleitung;;Overhead;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
54;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0022 Kaltgeräteleitung;;Overhead;;;;;;Secutest Messung;17.02.2017 19:00:59;232 mO;=300 mO;Bestanden;54 mV;232 mA;300 MO;=1,00 MO;512 V;0,1 mA;;;;;;;;;;;;;;;;
55;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0023 Overhead Projektor;;;Nobo;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
56;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0023 Overhead Projektor;;;Nobo;;;;;Secutest Messung;17.02.2017 20:11:15;268 mO;=300 mO;;62 mV;232 mA;300 MO;=1,00 MO;512 V;0,1 mA;Bestanden;;;229,4 V;50,0 Hz;292 W;298 VA;0,98 ;1,27 A;234,9 V;61 µA;=3,50 mA;;50,0 Hz;;
57;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0024 Netzteil P-touch;;P-Touch 1830;Brother;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
58;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0024 Netzteil P-touch;;P-Touch 1830;Brother;;;;;Secutest Messung;17.02.2017 21:45:14;;;;;;300 MO;=2,00 MO;511 V;0,1 mA;Bestanden;2 µA;=500 µA;230,0 V;50,0 Hz50,0 Hz;0 W;2 VA;1,00 ;0,01 A;235,5 V;;;;;;
59;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0025 Wasserkocher;;;Home Electronics;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
60;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0025 Wasserkocher;;;Home Electronics;;;;;Secutest Messung;17.02.2017 21:43:12;76 mO;=300 mO;;18 mV;232 mA;300 MO;=1,00 MO;542 V;0,1 mA;Bestanden;;;229,9 V;50,0 Hz;1,89 kW;1,89 kVA;1,00 ;8,28 A;228,5 V;11 µA;=3,50 mA;;50,0 Hz;;
61;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0026 Ventilator;;;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
62;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0026 Ventilator;;;;;;;;Secutest Messung;17.02.2017 21:28:06;;;;;;300 MO;=2,00 MO;542 V;0,1 mA;Bestanden;2 µA;=500 µA;230,0 V;50,0 Hz50,0 Hz;46 W;47 VA;0,98 ;0,20 A;235,4 V;;;;;;
63;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0027 Ventilator;;;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
64;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0027 Ventilator;;;;;;;;Secutest Messung;17.02.2017 21:24:05;;;;;;300 MO;=2,00 MO;542 V;0,1 mA;Bestanden;1 µA;=500 µA;229,8 V;50,0 Hz50,0 Hz;35 W;37 VA;0,95 ;0,16 A;235,4 V;;;;;;
65;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0027 Ventilator;;;;;;;;Secutest Messung;17.02.2017 21:25:51;;;;;;300 MO;=2,00 MO;512 V;0,1 mA;Bestanden;2 µA;=500 µA;230,0 V;50,0 Hz50,0 Hz;35 W;37 VA;0,95 ;0,16 A;235,4 V;;;;;;
66;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0028 Ventilator;;;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
67;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0028 Ventilator;;;;;;;;Secutest Messung;17.02.2017 21:20:18;;;;;;300 MO;=2,00 MO;512 V;0,1 mA;Bestanden;2 µA;=500 µA;230,0 V;50,0 Hz50,0 Hz;35 W;37 VA;0,95 ;0,16 A;235,7 V;;;;;;
68;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0029 Ventilator;;;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
69;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0029 Ventilator;;;;;;;;Secutest Messung;17.02.2017 21:18:21;;;;;;300 MO;=2,00 MO;542 V;0,1 mA;Bestanden;2 µA;=500 µA;232,3 V;50,0 Hz50,0 Hz;37 W;38 VA;0,98 ;0,16 A;235,2 V;;;;;;
70;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0030 Ventilator;;;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
71;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0030 Ventilator;;;;;;;;Secutest Messung;17.02.2017 21:13:49;;;;;;300 MO;=2,00 MO;542 V;0,1 mA;Bestanden;2 µA;=500 µA;230,0 V;50,0 Hz50,0 Hz;40 W;41 VA;1,00 ;0,17 A;234,3 V;;;;;;
72;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0031 Ventilator;;;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
73;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0031 Ventilator;;;;;;;;Secutest Messung;17.02.2017 21:15:44;;;;;;300 MO;=2,00 MO;512 V;0,1 mA;Bestanden;2 µA;=500 µA;229,8 V;50,0 Hz50,0 Hz;41 W;43 VA;0,95 ;0,18 A;235,0 V;;;;;;
74;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0032 Ventilator;;;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
75;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0032 Ventilator;;;;;;;;Secutest Messung;17.02.2017 21:12:07;;;;;;300 MO;=2,00 MO;512 V;0,1 mA;Bestanden;2 µA;=500 µA;230,0 V;50,0 Hz50,0 Hz;31 W;32 VA;0,97 ;0,13 A;234,4 V;;;;;;
76;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0033 Ventilator;;;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
77;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0033 Ventilator;;;;;;;;Secutest Messung;17.02.2017 21:05:24;;;;;;300 MO;=2,00 MO;543 V;0,1 mA;Bestanden;2 µA;=500 µA;229,8 V;50,0 Hz50,0 Hz;38 W;39 VA;0,96 ;0,17 A;234,2 V;;;;;;
78;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0034 Ventilator;;;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
79;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0034 Ventilator;;;;;;;;Secutest Messung;17.02.2017 21:03:31;;;;;;300 MO;=2,00 MO;511 V;0,1 mA;Bestanden;2 µA;=500 µA;230,1 V;50,0 Hz50,0 Hz;29 W;32 VA;0,90 ;0,14 A;234,1 V;;;;;;
80;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0035 Ventilator;;;Elta;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
81;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0035 Ventilator;;;Elta;;;;;Secutest Messung;17.02.2017 21:29:40;;;;;;300 MO;=2,00 MO;513 V;0,1 mA;Bestanden;2 µA;=500 µA;230,0 V;50,0 Hz50,0 Hz;43 W;43 VA;1,00 ;0,18 A;235,5 V;;;;;;
82;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0036 Stehlampe;;;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
83;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0036 Stehlampe;;;;;;;;Secutest Messung;17.02.2017 21:37:32;;;;;;300 MO;=2,00 MO;512 V;0,1 mA;Bestanden;1 µA;=500 µA;230,0 V;50,0 Hz50,0 Hz;26 W;26 VA;1,00 ;0,11 A;235,6 V;;;;;;
84;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0037 Stehlampe;;;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
85;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0037 Stehlampe;;;;;;;;Secutest Messung;17.02.2017 21:32:26;;;;;;300 MO;=2,00 MO;532 V;0,1 mA;Bestanden;2 µA;=500 µA;229,9 V;50,0 Hz50,0 Hz;27 W;36 VA;0,76 ;0,15 A;235,4 V;;;;;;
86;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0038 Stehlampe;;;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
87;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0038 Stehlampe;;;;;;;;Secutest Messung;17.02.2017 21:34:31;;;;;;300 MO;=2,00 MO;542 V;0,1 mA;Bestanden;2 µA;=500 µA;230,0 V;50,0 Hz50,0 Hz;22 W;22 VA;1,00 ;0,09 A;235,4 V;;;;;;
88;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0039 Kaltgeräteleitung;;;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
89;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0039 Kaltgeräteleitung;;;;;;;;Secutest Messung;17.02.2017 23:28:28;66 mO;=300 mO;Bestanden;16 mV;241 mA;300 MO;=1,00 MO;542 V;0,1 mA;;;;;;;;;;;;;;;;
90;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0040 Kaltgeräteleitung;;;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
91;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0040 Kaltgeräteleitung;;;;;;;;Secutest Messung;17.02.2017 23:29:26;80 mO;=300 mO;Bestanden;19 mV;232 mA;300 MO;=1,00 MO;512 V;0,1 mA;;;;;;;;;;;;;;;;
92;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0041 Kaltgeräteleitung;;;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
93;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0041 Kaltgeräteleitung;;;;;;;;Secutest Messung;17.02.2017 23:27:02;150 mO;=300 mO;Bestanden;35 mV;232 mA;300 MO;=1,00 MO;513 V;0,1 mA;;;;;;;;;;;;;;;;
94;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0042 Netzteil;;;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
95;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0042 Netzteil;;;;;;;;Secutest Messung;17.02.2017 23:35:27;;;;;;300 MO;=2,00 MO;513 V;0,1 mA;Bestanden;2 µA;=500 µA;230,0 V;50,0 Hz50,0 Hz;0 W;0 VA;1,00 ;0,00 A;236,8 V;;;;;;
96;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0043 Netzteil;;;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
